epoch: 0	train ppl: 749.5978796615562	val ppl: 356.2407844800992	best val: 356.2407844800992	time (s) spent in epoch: 81.15884304046631
epoch: 1	train ppl: 298.74011633413886	val ppl: 248.95914590395478	best val: 248.95914590395478	time (s) spent in epoch: 85.1908814907074
epoch: 2	train ppl: 223.55027525152715	val ppl: 208.0579642672228	best val: 208.0579642672228	time (s) spent in epoch: 85.11591696739197
epoch: 3	train ppl: 185.70881016526843	val ppl: 185.25709489112091	best val: 185.25709489112091	time (s) spent in epoch: 85.14681220054626
epoch: 4	train ppl: 161.12174225840957	val ppl: 170.11681544702722	best val: 170.11681544702722	time (s) spent in epoch: 85.1686863899231
epoch: 5	train ppl: 143.46155607680984	val ppl: 159.63947851156323	best val: 159.63947851156323	time (s) spent in epoch: 85.19375681877136
epoch: 6	train ppl: 129.5765721876497	val ppl: 151.899956037552	best val: 151.899956037552	time (s) spent in epoch: 85.02964043617249
epoch: 7	train ppl: 118.29638324782645	val ppl: 145.05466727462473	best val: 145.05466727462473	time (s) spent in epoch: 85.26864504814148
epoch: 8	train ppl: 108.73057859520841	val ppl: 140.07100371745926	best val: 140.07100371745926	time (s) spent in epoch: 85.07671618461609
epoch: 9	train ppl: 100.46124230105748	val ppl: 135.0422914587278	best val: 135.0422914587278	time (s) spent in epoch: 85.17878794670105
epoch: 10	train ppl: 93.29669004367433	val ppl: 131.8888091199139	best val: 131.8888091199139	time (s) spent in epoch: 85.42683100700378
epoch: 11	train ppl: 86.81284228305806	val ppl: 129.03209458768714	best val: 129.03209458768714	time (s) spent in epoch: 85.17183780670166
epoch: 12	train ppl: 81.09457517587826	val ppl: 127.36546808930434	best val: 127.36546808930434	time (s) spent in epoch: 85.19384527206421
epoch: 13	train ppl: 75.87396963337234	val ppl: 126.42272872383906	best val: 126.42272872383906	time (s) spent in epoch: 85.08772325515747
epoch: 14	train ppl: 71.3023456005774	val ppl: 125.48352837134892	best val: 125.48352837134892	time (s) spent in epoch: 85.25871324539185
epoch: 15	train ppl: 67.13579075797945	val ppl: 124.42762476421787	best val: 124.42762476421787	time (s) spent in epoch: 85.08174705505371
epoch: 16	train ppl: 63.29669978283454	val ppl: 124.29010432321326	best val: 124.29010432321326	time (s) spent in epoch: 85.12970280647278
epoch: 17	train ppl: 59.741457046061896	val ppl: 124.26742305765713	best val: 124.26742305765713	time (s) spent in epoch: 85.15176224708557
epoch: 18	train ppl: 56.43836983325517	val ppl: 124.72749514830312	best val: 124.26742305765713	time (s) spent in epoch: 85.22089624404907
epoch: 19	train ppl: 53.47451755275669	val ppl: 125.54027127352478	best val: 124.26742305765713	time (s) spent in epoch: 85.22689962387085
epoch: 20	train ppl: 50.573709662444735	val ppl: 126.68884717243861	best val: 124.26742305765713	time (s) spent in epoch: 85.14286422729492
epoch: 21	train ppl: 47.93845027218106	val ppl: 127.94464836653128	best val: 124.26742305765713	time (s) spent in epoch: 85.15792274475098
epoch: 22	train ppl: 45.47981240038179	val ppl: 130.30823547277885	best val: 124.26742305765713	time (s) spent in epoch: 85.08272385597229
epoch: 23	train ppl: 43.15951491317507	val ppl: 131.50449311893433	best val: 124.26742305765713	time (s) spent in epoch: 85.31972742080688
epoch: 24	train ppl: 41.007208642922464	val ppl: 133.55597579324754	best val: 124.26742305765713	time (s) spent in epoch: 86.76477813720703
epoch: 25	train ppl: 38.95555765938614	val ppl: 135.474531289769	best val: 124.26742305765713	time (s) spent in epoch: 84.86459922790527
epoch: 26	train ppl: 37.037145955561236	val ppl: 138.73080453733343	best val: 124.26742305765713	time (s) spent in epoch: 84.94369006156921
epoch: 27	train ppl: 35.20694137046074	val ppl: 140.5994293944897	best val: 124.26742305765713	time (s) spent in epoch: 84.8067536354065
epoch: 28	train ppl: 33.526180514768015	val ppl: 143.90321510483284	best val: 124.26742305765713	time (s) spent in epoch: 85.06787776947021
epoch: 29	train ppl: 31.900925551860137	val ppl: 146.28241976897627	best val: 124.26742305765713	time (s) spent in epoch: 84.90181756019592
epoch: 30	train ppl: 30.395910102361984	val ppl: 149.84789056660009	best val: 124.26742305765713	time (s) spent in epoch: 84.99482464790344
epoch: 31	train ppl: 28.93050373236992	val ppl: 153.25539408153588	best val: 124.26742305765713	time (s) spent in epoch: 85.15288662910461
epoch: 32	train ppl: 27.609587581148322	val ppl: 156.79580277656282	best val: 124.26742305765713	time (s) spent in epoch: 84.96771621704102
epoch: 33	train ppl: 26.29297641339502	val ppl: 160.77321247594045	best val: 124.26742305765713	time (s) spent in epoch: 84.92271208763123
epoch: 34	train ppl: 25.054001675897858	val ppl: 164.25620420694318	best val: 124.26742305765713	time (s) spent in epoch: 85.07175540924072
epoch: 35	train ppl: 23.918759535033153	val ppl: 169.32671778877048	best val: 124.26742305765713	time (s) spent in epoch: 84.90960764884949
epoch: 36	train ppl: 22.8449811248532	val ppl: 172.7661967221811	best val: 124.26742305765713	time (s) spent in epoch: 84.9017481803894
epoch: 37	train ppl: 21.838724902844614	val ppl: 177.73370796613716	best val: 124.26742305765713	time (s) spent in epoch: 84.92387652397156
epoch: 38	train ppl: 20.849886609151863	val ppl: 182.2969366707623	best val: 124.26742305765713	time (s) spent in epoch: 85.0678231716156
epoch: 39	train ppl: 19.957471631502827	val ppl: 188.0736558945004	best val: 124.26742305765713	time (s) spent in epoch: 84.97383236885071
