epoch: 0	train ppl: 369.4840000049872	val ppl: 211.6153948408722	best val: 211.6153948408722	time (s) spent in epoch: 87.94198322296143
epoch: 1	train ppl: 154.10964549812675	val ppl: 164.0609777390655	best val: 164.0609777390655	time (s) spent in epoch: 89.98995113372803
epoch: 2	train ppl: 109.49704807904291	val ppl: 150.4942798056915	best val: 150.4942798056915	time (s) spent in epoch: 90.10370945930481
epoch: 3	train ppl: 86.35920559183846	val ppl: 144.5142418553242	best val: 144.5142418553242	time (s) spent in epoch: 90.72318911552429
epoch: 4	train ppl: 71.73591926121321	val ppl: 146.80376467105964	best val: 144.5142418553242	time (s) spent in epoch: 90.6421844959259
epoch: 5	train ppl: 60.59664289402859	val ppl: 149.32148192289205	best val: 144.5142418553242	time (s) spent in epoch: 90.4251720905304
epoch: 6	train ppl: 51.85713722157251	val ppl: 156.74619817588362	best val: 144.5142418553242	time (s) spent in epoch: 90.51517701148987
epoch: 7	train ppl: 45.009615388447244	val ppl: 165.41490275890553	best val: 144.5142418553242	time (s) spent in epoch: 90.44117283821106
epoch: 8	train ppl: 39.02717781367798	val ppl: 177.47968722838732	best val: 144.5142418553242	time (s) spent in epoch: 90.42317199707031
epoch: 9	train ppl: 34.22160648121158	val ppl: 191.3521584849065	best val: 144.5142418553242	time (s) spent in epoch: 90.30816507339478
epoch: 10	train ppl: 30.03816781037194	val ppl: 205.91110640994845	best val: 144.5142418553242	time (s) spent in epoch: 90.52717804908752
epoch: 11	train ppl: 26.49772182225475	val ppl: 221.85479183120586	best val: 144.5142418553242	time (s) spent in epoch: 90.30316495895386
epoch: 12	train ppl: 23.518725441545836	val ppl: 240.4230666321638	best val: 144.5142418553242	time (s) spent in epoch: 90.29916501045227
epoch: 13	train ppl: 21.016829598648968	val ppl: 264.4825878663289	best val: 144.5142418553242	time (s) spent in epoch: 90.44617319107056
epoch: 14	train ppl: 18.770389390567516	val ppl: 288.49935461833655	best val: 144.5142418553242	time (s) spent in epoch: 90.25816249847412
epoch: 15	train ppl: 16.827044634662553	val ppl: 316.2142488340742	best val: 144.5142418553242	time (s) spent in epoch: 90.617182970047
epoch: 16	train ppl: 15.087516923374148	val ppl: 350.6610118076019	best val: 144.5142418553242	time (s) spent in epoch: 90.3831696510315
epoch: 17	train ppl: 13.547790658747799	val ppl: 390.3527744722196	best val: 144.5142418553242	time (s) spent in epoch: 90.25716233253479
epoch: 18	train ppl: 12.195804998428013	val ppl: 434.3394117665139	best val: 144.5142418553242	time (s) spent in epoch: 90.17715811729431
epoch: 19	train ppl: 10.942328153050775	val ppl: 485.9708214303673	best val: 144.5142418553242	time (s) spent in epoch: 90.13115501403809
epoch: 20	train ppl: 9.892400805354512	val ppl: 556.8798893377948	best val: 144.5142418553242	time (s) spent in epoch: 90.18015813827515
epoch: 21	train ppl: 8.928735148359298	val ppl: 643.0428218385836	best val: 144.5142418553242	time (s) spent in epoch: 90.2671627998352
epoch: 22	train ppl: 8.089208454816198	val ppl: 731.2448443046571	best val: 144.5142418553242	time (s) spent in epoch: 90.33816719055176
epoch: 23	train ppl: 7.315176203926618	val ppl: 864.6764469688649	best val: 144.5142418553242	time (s) spent in epoch: 89.97514629364014
epoch: 24	train ppl: 6.638849742799702	val ppl: 980.0217468737832	best val: 144.5142418553242	time (s) spent in epoch: 90.15215611457825
epoch: 25	train ppl: 6.036528657850531	val ppl: 1144.4043058916384	best val: 144.5142418553242	time (s) spent in epoch: 89.8701400756836
epoch: 26	train ppl: 5.528021526953431	val ppl: 1357.3363009259458	best val: 144.5142418553242	time (s) spent in epoch: 89.84213852882385
epoch: 27	train ppl: 5.0704952913397765	val ppl: 1543.9253709312022	best val: 144.5142418553242	time (s) spent in epoch: 90.15815687179565
epoch: 28	train ppl: 4.661029641426779	val ppl: 1828.7177208582668	best val: 144.5142418553242	time (s) spent in epoch: 90.1591567993164
epoch: 29	train ppl: 4.314379595986997	val ppl: 2203.0291153995954	best val: 144.5142418553242	time (s) spent in epoch: 90.21415972709656
epoch: 30	train ppl: 4.034359507255911	val ppl: 2443.8665255457827	best val: 144.5142418553242	time (s) spent in epoch: 90.13315558433533
epoch: 31	train ppl: 3.791655394992057	val ppl: 2808.603465747578	best val: 144.5142418553242	time (s) spent in epoch: 90.20915961265564
epoch: 32	train ppl: 3.5611455848280342	val ppl: 3243.368284188542	best val: 144.5142418553242	time (s) spent in epoch: 89.92814350128174
epoch: 33	train ppl: 3.382804355169173	val ppl: 3688.0980011129554	best val: 144.5142418553242	time (s) spent in epoch: 89.93514394760132
epoch: 34	train ppl: 3.2207761249304605	val ppl: 4158.999570264414	best val: 144.5142418553242	time (s) spent in epoch: 90.04215002059937
epoch: 35	train ppl: 3.086836287074587	val ppl: 4940.164132437463	best val: 144.5142418553242	time (s) spent in epoch: 89.94814467430115
epoch: 36	train ppl: 2.959713669696452	val ppl: 5322.55608381131	best val: 144.5142418553242	time (s) spent in epoch: 89.92314314842224
epoch: 37	train ppl: 2.855822220957721	val ppl: 6267.109627005767	best val: 144.5142418553242	time (s) spent in epoch: 89.87214040756226
epoch: 38	train ppl: 2.7607267529345623	val ppl: 6750.181672651955	best val: 144.5142418553242	time (s) spent in epoch: 89.96514558792114
epoch: 39	train ppl: 2.669994573914849	val ppl: 7739.759864156599	best val: 144.5142418553242	time (s) spent in epoch: 90.03614974021912
